# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.0152 0.01508 8.14613 1.6000000238 2.5465342999    1.600  0.841  3.8900  4.313    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.87e-14      0.00 7.118e-01 2.731e-01 2.689e-03 7.345e-04 6.672e-03 -1.000 1.518e-02 2.667 3.709 2.650 2.642 2.740 2.863
0.0152 0.01508 8.14613 1.6500000954 2.5499615669    1.649  0.900  3.9025  4.318    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.85e-14      0.00 7.118e-01 2.730e-01 2.689e-03 7.344e-04 6.671e-03 -1.000 1.516e-02 2.521 3.558 2.485 2.518 2.638 2.772
0.0152 0.01508 8.14613 1.6637818813 2.5508646965    1.663  0.915  3.9058  4.319    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -9.21e-19      0.00 7.118e-01 2.730e-01 2.689e-03 7.343e-04 6.671e-03 -1.000 1.516e-02 2.482 3.518 2.442 2.486 2.611 2.748
0.0152 0.01508 8.14613 1.7000000477 2.5531582832    1.699  0.956  3.9142  4.321    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.119e-01 2.729e-01 2.688e-03 7.343e-04 6.670e-03 -1.000 1.516e-02 2.380 3.413 2.331 2.403 2.543 2.686
0.0152 0.01508 8.14613 1.7500000000 2.5561456680    1.749  1.010  3.9252  4.323    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.119e-01 2.729e-01 2.688e-03 7.341e-04 6.669e-03 -1.000 1.517e-02 2.245 3.274 2.188 2.297 2.453 2.604
0.0152 0.01508 8.14613 1.8000000715 2.5589430332    1.799  1.062  3.9354  4.324    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.120e-01 2.728e-01 2.688e-03 7.340e-04 6.668e-03 -1.000 1.517e-02 2.114 3.139 2.057 2.197 2.368 2.526
0.0152 0.01508 8.14613 1.8500000238 2.5615673065    1.849  1.112  3.9450  4.325    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.121e-01 2.728e-01 2.687e-03 7.339e-04 6.667e-03 -1.000 1.517e-02 1.989 3.008 1.939 2.105 2.289 2.451
0.0152 0.01508 8.14613 1.8640598059 2.5622761250    1.863  1.126  3.9475  4.324    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.121e-01 2.728e-01 2.687e-03 7.339e-04 6.666e-03 -1.000 1.517e-02 1.955 2.971 1.908 2.080 2.266 2.430
0.0152 0.01508 8.14613 1.9000000954 2.5640332699    1.899  1.161  3.9538  4.323    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.121e-01 2.728e-01 2.687e-03 7.339e-04 6.666e-03 -1.000 1.517e-02 1.868 2.881 1.830 2.017 2.211 2.377
0.0152 0.01508 8.14613 1.9500001669 2.5663545132    1.950  1.208  3.9622  4.321    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.121e-01 2.727e-01 2.687e-03 7.338e-04 6.665e-03 -1.000 1.517e-02 1.751 2.759 1.729 1.934 2.136 2.307
0.0152 0.01508 8.14613 1.9519731998 2.5664432049    1.952  1.210  3.9625  4.321    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.121e-01 2.727e-01 2.687e-03 7.338e-04 6.665e-03 -1.000 1.517e-02 1.746 2.755 1.726 1.931 2.133 2.304
0.0152 0.01508 8.14613 2.0000000000 2.5685424805    2.000  1.253  3.9700  4.318    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.122e-01 2.727e-01 2.686e-03 7.337e-04 6.665e-03 -1.000 1.513e-02 1.637 2.642 1.634 1.854 2.063 2.237
0.0152 0.01508 8.14613 2.0499999523 2.5706083775    2.050  1.298  3.9776  4.314    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.122e-01 2.726e-01 2.686e-03 7.336e-04 6.664e-03 -1.000 1.520e-02 1.525 2.530 1.545 1.778 1.993 2.170
0.0152 0.01508 8.14613 2.0999999046 2.5725615025    2.099  1.341  3.9848  4.310    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.122e-01 2.726e-01 2.686e-03 7.336e-04 6.664e-03 -1.000 1.514e-02 1.416 2.422 1.459 1.703 1.925 2.104
0.0152 0.01508 8.14613 2.1500000954 2.5744106770    2.149  1.384  3.9916  4.305    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.122e-01 2.726e-01 2.686e-03 7.335e-04 6.663e-03 -1.000 1.515e-02 1.311 2.316 1.377 1.631 1.857 2.039
0.0152 0.01508 8.14613 2.1774930954 2.5753858089    2.176  1.407  3.9953  4.302    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.122e-01 2.726e-01 2.686e-03 7.335e-04 6.663e-03 -1.000 1.517e-02 1.253 2.259 1.333 1.592 1.821 2.004
0.0152 0.01508 8.14613 2.2000000477 2.5761635303    2.199  1.425  3.9983  4.300    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.122e-01 2.726e-01 2.686e-03 7.335e-04 6.663e-03 -1.000 1.517e-02 1.206 2.213 1.298 1.560 1.791 1.975
0.0152 0.01508 8.14613 2.2500000000 2.5778269768    2.249  1.466  4.0046  4.294    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.123e-01 2.726e-01 2.686e-03 7.335e-04 6.663e-03 -1.000 1.517e-02 1.105 2.112 1.221 1.491 1.726 1.912
0.0152 0.01508 8.14613 2.2999999523 2.5794074535    2.299  1.506  4.0108  4.289    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.123e-01 2.725e-01 2.685e-03 7.335e-04 6.663e-03 -1.000 1.515e-02 1.005 2.014 1.146 1.423 1.662 1.850
0.0152 0.01508 8.14613 2.3096311092 2.5797028542    2.308  1.513  4.0120  4.288    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.123e-01 2.725e-01 2.685e-03 7.334e-04 6.663e-03 -1.000 1.515e-02 0.986 1.995 1.132 1.410 1.649 1.838
0.0152 0.01508 8.14613 2.4000000954 2.5823426247    2.399  1.583  4.0226  4.277    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.123e-01 2.725e-01 2.685e-03 7.334e-04 6.662e-03 -1.000 1.514e-02 0.811 1.823 1.002 1.291 1.535 1.728
0.0152 0.01508 8.14613 2.4687638283 2.5842030048    2.468  1.635  4.0304  4.269    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.114e-01 2.734e-01 2.693e-03 7.354e-04 6.680e-03 -1.000 1.518e-02 0.683 1.696 0.906 1.202 1.451 1.646
0.0152 0.01508 8.14613 2.5999999046 2.5874414444    2.600  1.731  4.0445  4.252    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 0.443 1.462 0.730 1.037 1.292 1.493
