#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2640 1.2548E-02 1.2548E-02  -0.11   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 5.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 210  1.227816  3.6808  2.8336  1.3698  4.4647  2.1626  1.3448  1.0928  0.9663
 211  1.228235  3.6792  2.7965  1.4010  4.4206  2.0975  1.2723  1.0170  0.8879
 212  1.228635  3.6777  2.7587  1.4325  4.3768  2.0319  1.1990  0.9403  0.8085
 213  1.229019  3.6760  2.7205  1.4643  4.3337  1.9661  1.1252  0.8628  0.7283
 214  1.229383  3.6742  2.6812  1.4965  4.2941  1.9010  1.0512  0.7849  0.6472
 215  1.229726  3.6725  2.6416  1.5292  4.2523  1.8343  0.9758  0.7055  0.5650
 216  1.230035  3.6705  2.5988  1.5644  4.2106  1.7639  0.8954  0.6207  0.4767
 217  1.230079  3.6702  2.5918  1.5702  4.2041  1.7526  0.8825  0.6069  0.4624
 218  1.230124  3.6699  2.5846  1.5761  4.1973  1.7409  0.8690  0.5927  0.4476
 219  1.230169  3.6695  2.5773  1.5821  4.1906  1.7290  0.8554  0.5782  0.4325
 220  1.230215  3.6692  2.5697  1.5883  4.1836  1.7168  0.8415  0.5634  0.4171
 221  1.230263  3.6688  2.5622  1.5944  4.1768  1.7047  0.8275  0.5485  0.4016
 222  1.230312  3.6685  2.5546  1.6007  4.1700  1.6925  0.8135  0.5337  0.3860
 223  1.230362  3.6681  2.5470  1.6068  4.1634  1.6803  0.7995  0.5187  0.3705
 224  1.230412  3.6678  2.5395  1.6130  4.1567  1.6683  0.7857  0.5041  0.3552
 225  1.230463  3.6675  2.5321  1.6190  4.1499  1.6563  0.7719  0.4894  0.3399
 226  1.230514  3.6671  2.5247  1.6251  4.1432  1.6444  0.7583  0.4749  0.3249
 227  1.230920  3.6650  2.4782  1.6631  4.1022  1.5698  0.6723  0.3836  0.2296
 228  1.231303  3.6665  2.5046  1.6428  4.1115  1.6035  0.7145  0.4304  0.2797
 229  1.231797  3.6679  2.5314  1.6222  4.1222  1.6380  0.7572  0.4781  0.3305
 230  1.232334  3.6644  2.4578  1.6822  4.0612  1.5201  0.6209  0.3339  0.1806
